{100000.0000000002, {6.351564599059548*^28, 1.4712189733123757*^17, 3.955888477122556*^28, 1.0277752026809074*^17, 1.2674500018385457*^36, 1.4613137880076773*^36, 1.2030143403381757*^36, 1.6531932704562452*^36, 1.1057570819636325*^37, 1.0301304718052217*^37}}
{158489.31924611173, {3.8669990642081153*^28, 3.6473552479105736*^16, 2.4237433125963982*^28, 2.5524601968434692*^16, 7.267880791332303*^35, 8.881012098063862*^35, 6.890672570552689*^35, 1.0005870000361539*^36, 6.562408964366957*^36, 6.127708820685312*^36}}
{251188.6431509582, {2.2312405542253185*^28, 8.744640150566022*^15, 1.4112069989955254*^28, 6.14031297159247*^15, 3.847044933285444*^35, 5.085409915098247*^35, 3.642867699934508*^35, 5.698013810773858*^35, 3.6265726201049944*^36, 3.395431112981811*^36}}
{398107.17055349774, {1.1937959649310674*^28, 1.967015074572504*^15, 7.621734623070261*^27, 1.387113500230157*^15, 1.8818550073349186*^35, 2.688892413432843*^35, 1.780049681055766*^35, 2.996590850668594*^35, 1.8472955790076025*^36, 1.7336522114455453*^36}}
{630957.3444801943, {5.90716425414851*^27, 4.083127150977144*^14, 3.801310246864758*^27, 2.890965653277221*^14, 8.630220211081014*^34, 1.314391885833994*^35, 8.155859688288081*^34, 1.4585453507354252*^35, 8.748620245814599*^35, 8.225503806115955*^35}}
{1.*^6, {2.7356190300403914*^27, 7.852518799145338*^13, 1.7707666752419253*^27, 5.577451240318666*^13, 3.774600300189076*^34, 6.025831963059848*^34, 3.564560804976814*^34, 6.6627064276335055*^34, 3.916948252077179*^35, 3.687369758363754*^35}}
{1.5848931924611141*^6, {1.2052819462424024*^27, 1.4204101250443047*^13, 7.833674159766407*^26, 1.011173127142673*^13, 1.59770522397409*^34, 2.6350852978261*^34, 1.5087170161341156*^34, 2.906321256890133*^34, 1.6853124709526737*^35, 1.587358193313553*^35}}
{2.5118864315095823*^6, {5.127948974112441*^26, 2.457354463298389*^12, 3.341974158345023*^26, 1.7520548794311428*^12, 6.616678883791086*^33, 1.1160994328411109*^34, 6.249452155134604*^33, 1.2286940557852713*^34, 7.05999113531718*^34, 6.653312707552473*^34}}
{3.9810717055349774*^6, {2.1310119395871078*^26, 4.123130915079583*^11, 1.3912889179679578*^26, 2.942706971725472*^11, 2.71322756142319*^33, 4.640659679437193*^33, 2.5629661125969726*^33, 5.1053576130752877*^33, 2.9001788414725043*^34, 2.7366647164178875*^34}}
{6.309573444801942*^6, {8.720150278063022*^25, 6.778779650344461*^10, 5.699711023020221*^25, 4.8412363358875824*^10, 1.0928531029988238*^33, 1.913917293801278*^33, 1.040542145401271*^33, 2.0720293759330743*^33, 1.1738870362104395*^34, 1.1144220162934512*^34}}
{1.000000000000002*^7, {3.5328633075244506*^25, 1.0998170679694304*^10, 2.310860043314933*^25, 7.857924052218128*^9, 4.3952110162647395*^32, 7.328123954899829*^32, 4.0533033877677194*^32, 8.522924627298876*^32, 4.7458631972937595*^33, 4.2853796847868936*^33}}
